,Year,Song_Artist_Combined,dope,drip,woke,rizz,sus
0,2010,"(I've Had) The Time Of My Life, Glee Cast",False,False,False,False,False
1,2010,"2012 (It Ain't The End), Jay Sean ft. Nicki Minaj",False,False,False,False,False
2,2010,"3, Britney Spears",False,False,False,False,False
3,2010,"A Little More Country Than That, Easton Corbin",False,False,False,False,False
4,2010,"A Year Without Rain, Selena Gomez & The Scene",False,False,False,False,False
5,2010,"According To You, Orianthi",False,False,False,False,False
6,2010,"Ain't Back Yet, Kenny Chesney",False,False,False,False,False
7,2010,"Airplanes, B.o.B ft. Hayley Williams",False,False,False,False,False
8,2010,"Alejandro, Lady Gaga",False,False,False,False,False
9,2010,"All About Tonight, Blake Shelton",False,False,False,False,False
10,2010,"All I Do Is Win, DJ Khaled ft. T-Pain, Ludacris, Snoop Dogg & Rick Ross",False,False,False,False,False
11,2010,"All The Right Moves, OneRepublic",False,False,False,False,False
12,2010,"All The Way Turnt Up, Roscoe Dash featuring Soulja Boy Tell'em",False,False,False,False,False
13,2010,"Already Gone, Kelly Clarkson",False,False,False,False,False
14,2010,"American Honey, Lady Antebellum",False,False,False,False,False
15,2010,"Animal, Neon Trees",False,False,False,False,False
16,2010,"Anything Like Me, Brad Paisley",False,False,False,False,False
17,2010,"As She's Walking Away, Zac Brown Band ft. Alan Jackson",False,False,False,False,False
18,2010,"Aston Martin Music, Rick Ross ft. Drake & Chrisette Michele",False,False,False,False,False
19,2010,"Baby By Me, 50 Cent ft. Ne-Yo",False,False,False,False,False
20,2010,"Baby, Justin Bieber ft. Ludacris",False,False,False,False,False
21,2010,"Back To December, Taylor Swift",False,False,False,False,False
22,2010,"Bad Romance, Lady Gaga",False,False,False,False,False
23,2010,"Beamer, Benz, Or Bentley, Lloyd Banks ft. Juelz Santana",False,False,False,False,False
24,2010,"Beautiful Day, Lee DeWyze",False,False,False,False,False
25,2010,"BedRock, Young Money feat. Lloyd",False,False,False,False,True
26,2010,"Billionaire, Glee Cast",False,False,False,False,False
27,2010,"Billionaire, Travie McCoy ft. Bruno Mars",False,False,False,False,False
28,2010,"Black And Yellow, Wiz Khalifa",False,False,False,False,False
29,2010,"Blah Blah Blah, Ke$ha ft. 3OH!3",False,False,False,False,False
30,2010,"Body Language, Jesse McCartney ft. T-Pain",False,False,False,False,False
31,2010,"Bottoms Up, Trey Songz feat. Nicki Minaj",False,False,False,False,False
32,2010,"Break Your Heart, Taio Cruz ft. Ludacris",False,False,False,False,False
33,2010,"Breakeven, The Script",False,False,False,False,False
34,2010,"Bulletproof, La Roux",False,False,False,False,False
35,2010,"California Gurls, Katy Perry feat. Snoop Dogg",False,False,False,False,False
36,2010,"Can't Be Friends, Trey Songz",False,False,False,False,False
37,2010,"Can't Be Tamed, Miley Cyrus",False,False,False,False,False
38,2010,"Carry Out, Timbaland ft. Justin Timberlake",False,False,False,False,False
39,2010,"Check It Out, will.i.am & Nicki Minaj",False,False,False,False,False
40,2010,"Check It Out, will.i.am feat. Nicki Minaj",False,False,False,False,False
41,2010,"Christmas Lights, Coldplay",False,False,False,False,False
42,2010,"Club Can't Handle Me, Flo Rida ft. David Guetta",False,False,False,False,False
43,2010,"Come Back Song, Darius Rucker",False,False,True,False,False
44,2010,"Coming Home, Diddy - Dirty Money ft. Skylar Grey",False,False,False,False,False
45,2010,"Consider Me Gone, Reba",False,False,False,False,False
46,2010,"Cooler Than Me, Mike Posner",False,False,False,False,False
47,2010,"Cowboy Casanova, Carrie Underwood",False,False,False,False,False
48,2010,"DJ Got Us Fallin' In Love, Usher feat. Pitbull",False,False,False,False,False
49,2010,"Deuces, Chris Brown ft. Tyga & Kevin McCall",False,False,False,False,False
50,2010,"Do I, Luke Bryan",False,False,False,False,False
51,2010,"Do You Remember, Jay Sean ft. Sean Paul & Lil Jon",False,False,False,False,False
52,2010,"Dog Days Are Over, Florence + The Machine",False,False,False,False,False
53,2010,"Dog Days Are Over, Glee Cast",False,False,False,False,False
54,2010,"Don't Go Breaking My Heart, Glee Cast",False,False,False,False,False
55,2010,"Down, Jay Sean ft. Lil Wayne",False,False,False,False,False
56,2010,"Dream On, Glee Cast ft. Neil Patrick Harris",False,False,False,False,False
57,2010,"Drop The World, Lil Wayne ft. Eminem",False,False,False,False,False
58,2010,"Dynamite, Taio Cruz",False,False,False,False,False
59,2010,"E.T., Katy Perry feat. Kanye West",False,False,False,False,False
60,2010,"Eenie Meenie, Sean Kingston & Justin Bieber",False,False,False,False,False
61,2010,"Empire State Of Mind, Glee Cast",False,False,False,False,False
62,2010,"Empire State Of Mind, Jay-Z + Alicia Keys",False,False,False,False,False
63,2010,"Erase Me, Kid Cudi ft. Kanye West",False,False,False,False,False
64,2010,"Evacuate The Dancefloor, Cascada",False,False,False,False,False
65,2010,"Everything To Me, Monica",False,False,False,False,False
66,2010,"F**k You (Forget You), Cee Lo Green",False,False,False,False,False
67,2010,"Faithfully, Glee Cast",False,False,False,False,False
68,2010,"Fallin' For You, Colbie Caillat",False,False,False,False,False
69,2010,"Fancy, Drake ft. T.I. & Swizz Beatz",False,False,False,False,False
70,2010,"Farmer's Daughter, Rodney Atkins",False,False,False,False,False
71,2010,"Felt Good On My Lips, Tim McGraw",False,False,False,False,False
72,2010,"Fifteen, Taylor Swift",False,False,False,False,False
73,2010,"Find Your Love, Drake",False,False,False,False,False
74,2010,"Fireflies, Owl City",False,False,False,False,False
75,2010,"Firework, Katy Perry",False,False,False,False,False
76,2010,"Forever, Drake ft. Kanye West, Lil Wayne & Eminem",False,False,False,False,False
77,2010,"Forget You, Glee Cast ft. Gwyneth Paltrow",False,False,False,False,False
78,2010,"Free, Zac Brown Band",False,False,False,False,False
79,2010,"Gangsta Luv, Snoop Dogg feat. The-Dream",False,False,False,False,False
80,2010,"Gettin' Over You, David Guetta and Chris Willis ft. Fergie & LMFAO",False,False,False,False,False
81,2010,"Gimmie That Girl, Joe Nichols",False,False,False,False,False
82,2010,"Give It Up To Me, Shakira feat. Lil Wayne",False,False,False,False,False
83,2010,"Gives You Hell, Glee Cast ft. Lea Michele",False,False,False,False,False
84,2010,"Glitter In The Air, Pink",False,False,False,False,False
85,2010,"Gonorrhea, Lil Wayne ft. Drake",False,False,False,False,False
86,2010,"Got Your Back, T.I. feat. Keri Hilson",False,False,False,False,False
87,2010,"Grenade, Bruno Mars",False,False,False,False,False
88,2010,"Half Of My Heart, John Mayer",False,False,False,False,False
89,2010,"Halfway Gone, Lifehouse",False,False,False,False,False
90,2010,"Hallelujah, Justin Timberlake and Matt Morris feat. Charlie Sexton",False,False,False,False,False
91,2010,"Hallelujah, Lee DeWyze",False,False,False,False,False
92,2010,"Happy Days Are Here Again/Get Happy, Glee Cast",False,False,False,False,False
93,2010,"Hard, Rihanna feat. Jeezy",False,False,False,False,False
94,2010,"Haven't Met You Yet, Michael Buble",False,False,False,False,False
95,2010,"Heartbreak Warfare, John Mayer",False,False,False,False,False
96,2010,"Hell Breaks Loose, Eminem ft. Dr. Dre",False,False,False,False,False
97,2010,"Hello Good Morning, Diddy - Dirty Money ft. T.I.",False,False,False,False,False
98,2010,"Hello Goodbye, Glee Cast ft. Lea Michele, Cory Monteith & Amber Riley",False,False,False,False,False
99,2010,"Hello, Glee Cast ft. Jonathan Groff & Lea Michele",False,False,False,False,False
100,2010,"Hey Baby (Drop It To The Floor), Pitbull feat. T-Pain",False,False,False,False,False
101,2010,"Hey Daddy (Daddy's Home), Usher feat. Plies",False,False,False,False,False
102,2010,"Hey, Soul Sister, Glee Cast",False,False,False,False,False
103,2010,"Hey, Soul Sister, Train",False,False,False,False,False
104,2010,"Highway 20 Ride, Zac Brown Band",False,False,False,False,False
105,2010,"Hillbilly Bone, Blake Shelton feat. Trace Adkins",False,False,False,False,False
106,2010,"Hold My Hand, Michael Jackson duet with Akon",False,False,False,False,False
107,2010,"Hot Tottie, Usher feat. Jay-Z",False,False,False,False,False
108,2010,"How Low, Ludacris",False,False,False,False,False
109,2010,"I Can Transform Ya, Chris Brown ft. Lil Wayne & Swizz Beatz",False,False,False,False,False
110,2010,"I Dreamed A Dream, Glee Cast ft. Idina Menzel",False,False,False,False,False
111,2010,"I Gotta Feeling, The Black Eyed Peas",False,False,False,False,False
112,2010,"I Invented Sex, Trey Songz feat. Drake",False,False,False,False,False
113,2010,"I Like It, Enrique Iglesias ft. Pitbull",False,False,False,False,False
114,2010,"I Made It (Cash Money Heroes), Kevin Rudolf ft. Birdman, Jay Sean & Lil Wayne",False,False,False,False,False
115,2010,"I Never Told You, Colbie Caillat",False,False,False,False,False
116,2010,"I Wanna Rock, Snoop Dogg",False,False,False,False,False
117,2010,"I Want To Hold Your Hand, Glee Cast",False,False,False,False,False
118,2010,"I'm Awesome, Spose",False,False,False,False,False
119,2010,"I'm Back, T.I.",False,False,False,False,False
120,2010,"If I Die Young, The Band Perry",False,False,False,False,False
121,2010,"If I Had You, Adam Lambert",False,False,False,False,False
122,2010,"If It's Love, Train",False,False,False,False,False
123,2010,"If We Ever Meet Again, Timbaland feat. Katy Perry",False,False,False,False,False
124,2010,"If You Only Knew, Shinedown",False,False,False,False,False
125,2010,"Imma Be, The Black Eyed Peas",False,False,False,False,False
126,2010,"Impossible, Shontelle",False,False,False,False,False
127,2010,"In My Head, Jason Derulo",False,False,False,False,False
128,2010,"Innocent, Taylor Swift",False,False,False,False,False
129,2010,"It Kills Me, Melanie Fiona",False,False,False,False,False
130,2010,"Jar Of Hearts, Christina Perri",False,False,False,False,False
131,2010,"Jessie's Girl, Glee Cast",False,False,False,False,False
132,2010,"Just A Dream, Nelly",False,False,False,False,False
133,2010,"Just The Way You Are, Bruno Mars",False,False,False,False,False
134,2010,"Just The Way You Are, Glee Cast",False,False,False,False,False
135,2010,"King Of Anything, Sara Bareilles",False,False,False,False,False
136,2010,"Knockout, Lil Wayne ft. Nicki Minaj",False,False,False,False,False
137,2010,"Kush, Dr. Dre ft. Snoop Dogg & Akon",False,False,False,False,False
138,2010,"Lean On Me, Sheryl Crow, Kid Rock & Keith Urban",False,False,False,False,False
139,2010,"Letting Go (Dutty Love), Sean Kingston ft. Nicki Minaj",False,False,False,False,False
140,2010,"Life After You, Daughtry",False,False,False,False,False
141,2010,"Like A G6, Far*East Movement ft. Cataracs & Dev",False,False,False,False,False
142,2010,"Like A Prayer, Glee Cast",False,False,False,False,False
143,2010,"Lil Freak, Usher feat. Nicki Minaj",False,False,False,False,False
144,2010,"Listen, Glee Cast",False,False,False,False,False
145,2010,"Live Like We're Dying, Kris Allen",False,False,False,False,False
146,2010,"Loca, Shakira feat. El Cata or Dizzee Rascal",False,False,False,False,False
147,2010,"Lose My Mind, Young Jeezy feat. Plies",False,False,False,False,False
148,2010,"Love Like Crazy, Lee Brice",False,False,False,False,False
149,2010,"Love Like Woe, The Ready Set",False,False,False,False,False
150,2010,"Love The Way You Lie, Eminem ft. Rihanna",False,False,False,False,False
151,2010,"Lover, Lover, Jerrod Niemann",False,False,False,False,False
152,2010,"Lucky, Glee Cast",False,False,False,False,False
153,2010,"Magic, B.o.B ft. Rivers Cuomo",False,False,False,False,False
154,2010,"Marry You, Glee Cast",False,False,False,False,False
155,2010,"Mean, Taylor Swift",False,False,False,False,False
156,2010,"Meet Me Halfway, The Black Eyed Peas",False,False,False,False,False
157,2010,"Memories, David Guetta ft. Kid Cudi",False,False,False,False,False
158,2010,"Mine, Taylor Swift",False,False,False,False,False
159,2010,"Misery, Maroon 5",False,False,False,False,False
160,2010,"Miss Me, Drake ft. Lil Wayne",False,False,False,False,False
161,2010,"Money To Blow, Birdman ft. Lil Wayne & Drake",False,False,False,False,False
162,2010,"Monster, Kanye West ft. Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",False,False,False,False,False
163,2010,"My Chick Bad, Ludacris ft. Nicki Minaj",False,False,False,False,False
164,2010,"My First Kiss, 3OH!3 feat. Ke$ha",False,False,False,False,False
165,2010,"My Kinda Party, Jason Aldean",False,False,False,False,False
166,2010,"Naturally, Selena Gomez & The Scene",False,False,False,False,False
167,2010,"Need You Now, Lady Antebellum",False,False,False,False,False
168,2010,"Neighbors Know My Name, Trey Songz",False,False,False,False,False
169,2010,"Never Let You Go, Justin Bieber",False,False,False,False,False
170,2010,"Never Say Never, Justin Bieber ft. Jaden Smith",False,False,False,False,False
171,2010,"No Hands, Waka Flocka Flame feat. Roscoe Dash",False,False,False,False,False
172,2010,"No Hands, Waka Flocka Flame feat. Roscoe Dash & Wale",False,False,False,False,False
173,2010,"No Love, Eminem ft. Lil Wayne",False,False,False,False,False
174,2010,"Not Afraid, Eminem",False,False,False,False,False
175,2010,"Not Myself Tonight, Christina Aguilera",False,False,False,False,False
176,2010,"Nothin' On You, B.o.B ft. Bruno Mars",False,False,False,False,False
177,2010,"OMG, Usher feat. will.i.am",False,False,False,False,False
178,2010,"On To The Next One, Jay-Z + Swizz Beatz",False,False,False,False,False
179,2010,"One Less Lonely Girl, Justin Bieber",False,False,False,False,False
180,2010,"One Love (People Get Ready), Glee Cast",False,False,False,False,False
181,2010,"One Of Us, Glee Cast",False,False,False,False,False
182,2010,"One Time, Justin Bieber",False,False,False,False,False
183,2010,"Only Girl (In The World), Rihanna",False,False,False,False,False
184,2010,"Only The Good Die Young, Glee Cast",False,False,False,False,False
185,2010,"Over The Rainbow, Glee Cast",False,False,False,False,False
186,2010,"Over, Drake",False,False,False,False,False
187,2010,"Pants On The Ground, General Larry Platt",False,False,False,False,False
188,2010,"Paparazzi, Lady Gaga",False,False,False,False,False
189,2010,"Party In The U.S.A., Miley Cyrus",False,False,False,False,False
190,2010,"Please Don't Go, Mike Posner",False,False,False,False,False
191,2010,"Poker Face, Glee Cast",False,False,False,False,False
192,2010,"Power, Kanye West",False,False,False,False,False
193,2010,"Pray For You, Jaron & The Long Road To Love",False,False,False,False,False
194,2010,"Pretty Boy Swag, Soulja Boy Tell'em",False,False,False,False,False
195,2010,"Pretty Girl Rock, Keri Hilson",False,False,False,False,False
196,2010,"Pretty Good At Drinkin' Beer, Billy Currington",False,False,False,False,False
197,2010,"Radioactive, Kings Of Leon",False,False,False,False,False
198,2010,"Rain Is A Good Thing, Luke Bryan",False,False,False,False,False
199,2010,"Raise Your Glass, P!nk",False,False,False,False,False
200,2010,"Raise Your Glass, Pink",False,False,False,False,False
201,2010,"Replay, Iyaz",False,False,False,False,False
202,2010,"Ride, Ciara ft. Ludacris",False,False,False,False,False
203,2010,"Ridin' Solo, Jason Derulo",False,False,False,False,False
204,2010,"Right Above It, Lil Wayne ft. Drake",False,False,False,False,False
205,2010,"Right Thru Me, Nicki Minaj",False,False,False,False,False
206,2010,"River Deep, Mountain High, Glee Cast",False,False,False,False,False
207,2010,"Rock That Body, The Black Eyed Peas",False,False,False,False,False
208,2010,"Round & Round, Selena Gomez & The Scene",False,False,False,False,False
209,2010,"Rude Boy, Rihanna",False,False,False,False,False
210,2010,"Run This Town, Jay-Z, Rihanna & Kanye West",False,False,False,False,False
211,2010,"Runaway, Kanye West ft. Pusha T",False,False,False,False,False
212,2010,"Russian Roulette, Rihanna",False,False,False,False,False
213,2010,"Say Aah, Trey Songz feat. Fabolous",False,False,False,False,False
214,2010,"Say Something, Timbaland feat. Drake",False,False,False,False,False
215,2010,"Secrets, OneRepublic",False,False,False,False,False
216,2010,"September, Daughtry",False,False,False,False,False
217,2010,"Sexy Chick, David Guetta ft. Akon",False,False,False,False,False
218,2010,"Shut It Down, Pitbull feat. Akon",False,False,False,False,False
